attributes,id,parents,children,toOneRelation,toManyRelation,type,paretoFrontier,mapStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,1,1,Class,0,UnionSubclassStrategy
2,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,ForeignKeyEmbeddingStrategy
1,1,1,0,0,0,Class,0,JoinedSubclassStrategy
1,1,1,0,0,0,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
1,1,0,3,0,2,Class,0,UnionSubclassStrategy
2,1,0,0,2,1,Class,0,UnionSubclassStrategy
2,1,0,0,0,1,Class,0,UnionSubclassStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
0,0,0,0,0,0,Association,0,OwnAssociationTableStrategy
